image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1142 at 0x1831015E850>,is this an ap or pa film?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1831015E990>,what form of contrast did the patient receive?,oral and iv
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1831015EAD0>,what types of contrast did this patient have?,oral and iv
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x1831015EC10>,what organ system is pictured?,the brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x1831015ED50>,are the heart and lungs displayed well in this film,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1831015EE90>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1831015EFD0>,is there evidence of cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=459x381 at 0x1831015F110>,what cut of the body is this image?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x1831015F250>,is this an ap or pa film?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x1831015F390>,how was this film taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1142 at 0x1831015F4D0>,are the ground glass opacities located more in the apex or base of the lung?,base
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1142 at 0x1831015F610>,what parts of the lung fields contain the most prominent ground glass opacities?,lower lung fields
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1831015F750>,what is located in the sigmoid colon?,diverticuli
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1831015F890>,what are the findings in the sigmoid colon?,diverticuli
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x800 at 0x1831015F9D0>,what brain region demonstrates edema?,basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x1831015FB10>,any abnormal findings in the lower lung fields?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x800 at 0x1831015FC50>,what area of the brain is edematous?,basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x1831015FD90>,what type of plane is this image of?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x1831015FED0>,what plane was this image taken in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188050>,what is the muscle adjacent to the vertebrae?,psoas major muscle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188190>,what muscle surrounds the vertebrae?,psoas major muscle
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=260x335 at 0x183101882D0>,what section is this image?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=260x335 at 0x18310188410>,what plane is this image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188550>,is there oral contrast located in the colon?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188690>,is there oral contrast in the colon?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101887D0>,what category is the hemmorhage?,subarachnoid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1304 at 0x18310188910>,are the lower lung fields normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188A50>,what type of hemorrhage is shown?,subarachnoid
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188B90>,did this patient receive iv contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310188CD0>,was iv contrast given to the patient?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x18310188E10>,does the csf have high signal intensity?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x18310188F50>,is there high signal intensity in the csf?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=396x432 at 0x18310189090>,what modality is this image taken?,mri
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x564 at 0x183101891D0>,"is this a t1 weighted, t2 weighted, or flair image?",flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x564 at 0x18310189310>,what is the mri modality depicted in this image?,flair
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x18310189450>,what contrast was administered to this patient?,oral and iv
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x980 at 0x18310189590>,what types of contrast does this patient have?,oral and iv
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x183101896D0>,is the mass loculated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x18310189810>,which half the cerebellum is the largest mass located?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x18310189950>,which side of the cerebellum contains the largest mass?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=260x335 at 0x18310189A90>,what organ is this image of?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x515 at 0x18310189BD0>,does this image use gi contrast?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x515 at 0x18310189D10>,is this a contrast enhanced image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x18310189E50>,what type of modality was this image taken?,mri - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x512 at 0x18310189F90>,what is the mr weighting in this image?,mri - t2 weighted
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018A0D0>,where are the densities identified in the patient?,posterior to the gastric antrum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018A210>,what are the hyperattenuations located around the patient?,ribs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x1831018A350>,is there cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x815 at 0x1831018A490>,is there a loculated pancreatic mass?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=833x794 at 0x1831018A5D0>,is the heart enlarged?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1831018A710>,what are the internal morphologic features of this mass?,cystic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x553 at 0x1831018A850>,is this a cystic or solid mass?,cystic
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018A990>,does this ct use iv contrast material?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018AAD0>,is this a contrast or non contrast ct?,non-contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x1831018AC10>,is this a pa film?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1831018AD50>,is there any costophrenic angle blunting present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x1831018AE90>,is there presence of any costophrenic angle blunting?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018AFD0>,what part of the cns is this image showing?,brain
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x1831018B110>,do you see a pleural effusion?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x1831018B250>,what organ system is evaluated primarily?,gi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x1831018B390>,is there a pleural effusion present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x1831018B4D0>,are the ventricles visualized in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x1831018B610>,are you able to see the ventricles in this image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x1831018B750>,the lesion is located where in this image?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x1831018B890>,where is the lesion located in this image?,right lobe of the liver
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018B9D0>,in which vessel is calcification present?,aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018BB10>,the calcification is located in what vessel?,aorta
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018BC50>,what condition is found in the above image?,right subdural hematoma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831018BD90>,what pathology is seen in this image?,right subdural hematoma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x1831018BED0>,in what organ do you see swelling?,appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101BC050>,are there gallstones?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x183101BC190>,what organ is edematous in this image?,appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x183101BC2D0>,this image is suspicious of what cancerous pathology?,hepatocellular carcioma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x183101BC410>,what cancer does this patient have?,hepatocellular carcioma
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101BC550>,is this a noncontrast ct?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x183101BC690>,the infarcts seen are most likely what type?,punctate
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x183101BC7D0>,what types of infarcts are these most likely?,punctate
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BC910>,is this a pneumonia vs. pleural effusion?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BCA50>,is a pneumonia or pleural effusion seen in this image?,pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x183101BCB90>,how was this film taken?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BCCD0>,"on what side of the body is there pathology, and what is it?",right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101BCE10>,are gallstones present?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BCF50>,what is the pathology?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BD090>,what pathology is seen int his image?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BD1D0>,what pathology is seen int his image? what side?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BD310>,on what side of the body is there pathology?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BD450>,what side is the pathology?,right sided pleural effusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BD590>,is there deviation in the trachea?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BD6D0>,is there tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x183101BD810>,what organ system is highlighted by contrast?,gi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101BD950>,describe the intensity of the abnormality seen in this image? (central vs. surrounding),central hyperintensity and surrounding hypointensity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101BDA90>,how would you describe the central and surrounding intesities of the abnormality seen?,central hyperintensity and surrounding hypointensity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1090 at 0x183101BDBD0>,is the left hemidiaphragm normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x183101BDD10>,is the pathology seen hyperintense or hypointense in nature?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x183101BDE50>,is the abnormality hyperintense or hypointense?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BDF90>,the contrast is enhancing what inside the lesion?,calcifications
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE0D0>,what is enhanced by contrast in the lesion?,calcifications
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE210>,describe the density of this lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE350>,what is the density of the lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE490>,describe the size of this lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE5D0>,what is the size of the lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE710>,describe the size and density of this lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1170 at 0x183101BE850>,what is the size and density of the lesion?,"5.6cm focal, predominantly hypodense"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1295 at 0x183101BE990>,is this a chest x-ray?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x183101BEAD0>,what vascular problem is seen above?,portal vein occlusion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x183101BEC10>,what vein is occluded?,portal vein
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x183101BED50>,do you see cardiomegaly?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x183101BEE90>,is cardiomegaly present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x183101BEFD0>,is this an axial plane image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101BF110>,why are there no sulci seen in this image?,there is massive cerebral hemisphere edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101BF250>,why do you not see sulci in the image?,there is massive cerebral hemisphere edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x183101BF390>,is this a kub film?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101BF4D0>,is a noncontrast ct the first imaging test for a suspected brain bleed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x183101BF610>,what plane is this image in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x183101BF750>,is there a fracture?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x183101BF890>,how would you describe the lesion?,ring-enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101BF9D0>,is the heart size abnormal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101BFB10>,in what plane was this image taken?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101BFC50>,what plane was this image taken in?,axial
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x183101BFD90>,the image has an abnormality located where?,retrocardiac
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x183101BFED0>,where is the abnormality located in this image?,retrocardiac
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x183101F0050>,are there any abnormalities seen in the spleen?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x703 at 0x183101F0190>,what is the pathology seen in the spleen?,nothing
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x183101F02D0>,what structure in the left basal ganglia is spared?,left thalamus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x183101F0410>,what is spared in the left basal ganglia?,left thalamus
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101F0550>,pathology seen in this image?,small subdural hematoma with cerebral edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x759 at 0x183101F0690>,what are key characteristics of the lesion?,ring-enhancing lesion
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101F07D0>,what is the condition seen in this image?,small subdural hematoma with cerebral edema
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101F0910>,are there pleural effusions present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101F0A50>,is there presence of pleural effusions in this patient?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x183101F0B90>,free air is seen where in this image?,adjacent to the appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x183101F0CD0>,where is the free-air seen in this image?,adjacent to the appendix
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x183101F0E10>,is this an mri image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x183101F0F50>,the infarction is likely caused by what vessel?,left mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=558x655 at 0x183101F1090>,what vessel is likely the cause of this infarction?,left mca
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101F11D0>,is this film taken ap?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183101F1310>,are there any abnormalities in the kidneys?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x183101F1450>,are there abnormal findings on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x183101F1590>,notice any abnormality in the kidneys?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x183101F16D0>,what would you call the lesions seen?,ms plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x183101F1810>,what is the name of the lesions seen in this image?,ms plaques
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x502 at 0x183101F1950>,is this a plain film xray?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x907 at 0x183101F1A90>,are the costophrenic angles blunted?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x907 at 0x183101F1BD0>,is there any blunting of the costophrenic angle(s)?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x183101F1D10>,"there is mesenteric lymphadenopathy present, what additional region is seeded?",peritoneum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x652 at 0x183101F1E50>,"we see mesenteric lymphadenopathy in the above image, where else is there cancer?",peritoneum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x183101F1F90>,what is the vascular distribution of these infarcts?,all three vascular distributions
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=444x507 at 0x183101F20D0>,where are the infarcts located?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x692 at 0x183101F2210>,is this brain scan normal?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x183101F2350>,the pathology seen in this image is typical of what disease?,multiple sclerosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x183101F2490>,what disease does the pathology suggest?,multiple sclerosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x183101F25D0>,in what parts of the brain are the lesions located?,cerebrum and lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=601x743 at 0x183101F2710>,where do you see the lesions?,cerebrum and lateral ventricles
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x183101F2850>,any tracheal deviation present?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1307 at 0x183101F2990>,is there any presence of tracheal deviation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101F2AD0>,where is the abnormality located?,right convexity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=302x318 at 0x183101F2C10>,where is the pathology located?,right convexity
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x183101F2D50>,the image shows what abnormality?,abnormal hyperintensity in the right occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x864 at 0x183101F2E90>,what is abnormal in this image?,abnormal hyperintensity in the right occipital lobe
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x183101F2FD0>,is the brain tissue ischemic?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1175 at 0x183101F3110>,is this image a ct or mri image?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x842 at 0x183101F3250>,is this a special kind of x-ray?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183101F3390>,this image is concerning for what lung pathology?,pneumonia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x183101F34D0>,what lung pathology is this image concerning for?,pneumonia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x183101F3610>,the soft-tissue density seen in this image contains what?,air
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=768x872 at 0x183101F3750>,what is filling the soft-tissue density seen in this image?,air
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183101F3890>,is this a sagittal plane image?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x183101F39D0>,from what do you see stranding?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=720x540 at 0x183101F3B10>,what is stranding in this image?,fat
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x183101F3C50>,the image above shows an abnormality where?,hyperintensity of the left basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=263x324 at 0x183101F3D90>,is there atrophy of the brain?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x514 at 0x183101F3ED0>,where is the abnormality in this image?,hyperintensity of the left basal ganglia
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x841 at 0x18310218050>,is there evidence of left lung field hyperinflation?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x841 at 0x18310218190>,has the left lung collapsed?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=556x635 at 0x183102182D0>,is the grey/white matter border well differentiated?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x18310218410>,is there blurring of the grey-white matter junction?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x18310218550>,does the pancreatic head appear enlarged?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=732x516 at 0x18310218690>,is the size of the pancreatic head large?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x183102187D0>,is there evidence of mediastinal shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x840 at 0x18310218910>,is there a midline shift?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x805 at 0x18310218A50>,is there evidence of hilar enlargement?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x18310218B90>,how would you describe the abnormality?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x805 at 0x18310218CD0>,is there increased lung markings near the hilum?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x18310218E10>,is the mass compressing the inferior vena cava?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x713 at 0x18310218F50>,is the inferior vena cava compressed by the tumor?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x18310219090>,are the kidneys normal?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x183102191D0>,are these normal looking kidneys?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18310219310>,what is happening to the right heart border?,partial silhouetting
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18310219450>,how would you describe the r heart border?,partial silhouetting
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x18310219590>,what is the small mass near the left kidney?,splenule
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x183102196D0>,what is located near the left kidney,splenule
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18310219810>,is the right costophrenic angle sharp?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x18310219950>,is the abnormality focal or diffuse?,diffuse
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1023 at 0x18310219A90>,is the right costophrenic angle easily visualized?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x18310219BD0>,are the ventricles symmetrical?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x709 at 0x18310219D10>,are the ventricles the same size?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x18310219E50>,what does the brighter outer ring of the lesion represent?,necrosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x18310219F90>,what is indicated by the bright ring around the lesion?,necrosis
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x1831021A0D0>,where in relation to the mass is the left kidney located in this image?,posteriorly
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=469x373 at 0x1831021A210>,where is the mass located in relation to the left kidney?,posteriorly
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1831021A350>,on which side is air under the diaphragm?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=910x1138 at 0x1831021A490>,is free air present under the patient's left or right hemidiaphragm?,right
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1831021A5D0>,are any ventricles visualized on this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1023x1161 at 0x1831021A710>,what kind of scan is this?,ct
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=960x720 at 0x1831021A850>,can you see ventricles?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831021A990>,are there any other organs visualized in this image?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=512x512 at 0x1831021AAD0>,what other organs are present?,the lungs
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x1831021AC10>,which lung are more markings present in?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=673x827 at 0x1831021AD50>,where are the most lung markings?,right lung
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x1831021AE90>,are both kidneys visualized?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=980x892 at 0x1831021AFD0>,can you see both kidneys in this image?,yes
